city,lng,lat
Tokyo,139.6922,35.6897
Jakarta,106.8451,-6.2146
Delhi,77.23,28.66
Mumbai,72.8333,18.9667
Manila,120.9772,14.5958
Shanghai,121.4667,31.1667
São Paulo,-46.6339,-23.5504
Seoul,127.0,37.5833
Mexico City,-99.1333,19.4333
Guangzhou,113.259,23.1288
Beijing,116.3914,39.905
Cairo,31.2394,30.0561
New York,-73.9249,40.6943
Kolkāta,88.3378,22.5411
Moscow,37.6178,55.7558
Bangkok,100.5167,13.75
Buenos Aires,-58.3819,-34.5997
Shenzhen,114.054,22.535
Dhaka,90.3961,23.7161
Lagos,3.4,6.45
Istanbul,28.9603,41.01
Ōsaka,135.5019,34.6936
Karachi,67.01,24.86
Bangalore,77.598,12.9699
Tehran,51.4167,35.7
Kinshasa,15.3139,-4.3317
Ho Chi Minh City,106.6333,10.8167
Los Angeles,-118.4068,34.1139
Rio de Janeiro,-43.1964,-22.9083
Nanyang,112.5292,32.9987
Chennai,80.275,13.0825
Chengdu,104.0667,30.6636
Lahore,74.3436,31.5497
Paris,2.3522,48.8566
London,-0.1275,51.5072
Linyi,118.3425,35.0606
Tianjin,117.2056,39.1467
Shijiazhuang,114.5086,38.0422
Baoding,115.4845,38.8671
Zhoukou,114.6418,33.625
Lima,-77.0333,-12.05
Hyderābād,78.4667,17.3667
Bogotá,-74.0705,4.6126
Weifang,119.1,36.7167
Nagoya,136.9333,35.1167
Wuhan,114.2881,30.5872
Heze,115.4333,35.2333
Ganzhou,114.9336,25.8292
Tongshan,117.1859,34.261
Chicago,-87.6862,41.8373
Handan,114.4894,36.6116
Luanda,13.2344,-8.8383
Fuyang,115.8045,32.8986
Kuala Lumpur,101.6953,3.1478
Jining,116.5667,35.4
Dongguan,113.7493,23.0475
Hanoi,105.8412,21.0245
Pune,73.8553,18.5196
Chongqing,106.5069,29.55
Changchun,125.2,43.9
Zhumadian,114.0253,32.9773
Ningbo,121.5492,29.875
Onitsha,6.7833,6.1667
Nanjing,118.7667,32.05
Hefei,117.2808,31.8639
Ahmadābād,72.58,23.03
Hong Kong,114.185,22.305
Khartoum,32.5265,15.6031
Nantong,120.8873,31.9829
Yancheng,120.1339,33.3936
Foshan,113.1056,23.0292
Nanning,108.315,22.8192
Hengyang,112.5857,26.8968
Xi’an,108.9,34.2667
Shenyang,123.4258,41.8039
Tangshan,118.1742,39.6292
Shaoyang,111.4725,27.2418
Changsha,112.9709,28.1987
Santiago,-70.6667,-33.45
Zhengzhou,113.6605,34.7492
Zhanjiang,110.4031,21.1967
Riyadh,46.71,24.65
Cangzhou,116.8452,38.3037
Dar es Salaam,39.2833,-6.8
Maoming,110.9178,21.6618
Huanggang,114.875,30.45
Xinyang,114.0672,32.1264
Shangrao,117.9633,28.4419
Luoyang,112.4245,34.6587
Bijie,105.2863,27.3019
Yantai,121.2664,37.3997
Quanzhou,118.5858,24.9139
Hangzhou,120.1675,30.25
Miami,-80.2102,25.7839
Kunming,102.7061,25.0433
Nanchong,106.0784,30.7991
Zunyi,106.9336,27.705
Lu’an,116.5078,31.7542
Yichun,114.383,27.8041
Taizhou,121.4221,28.6583
Liaocheng,115.9833,36.45
Qujing,103.8029,25.5102
Xiangyang,112.1531,32.0654
Sūrat,72.83,21.17
Baghdad,44.4167,33.35
Qingdao,120.4,36.1167
Singapore,103.8,1.3
Dallas,-96.7662,32.7936
Changde,111.6839,29.0397
Dazhou,107.4947,31.2152
Suzhou,116.9683,33.6333
Philadelphia,-75.1339,40.0077
Jieyang,116.3649,23.5533
Nairobi,36.8172,-1.2864
Nangandao,113.8851,35.2992
Ankara,32.85,39.93
Tai’an,117.0809,36.2001
Yulin,110.1507,22.6293
Dezhou,116.3105,37.4513
Houston,-95.3889,29.7863
Atlanta,-84.4224,33.7627
Rangoon,96.15,16.8
Toronto,-79.3733,43.7417
Suihua,126.9808,46.6384
Washington,-77.0163,38.9047
Qiqihar,123.9512,47.3398
Jinhua,119.6494,29.1046
Saint Petersburg,30.3167,59.95
Shantou,116.6941,23.3735
Sydney,151.2094,-33.865
Weinan,109.4684,34.4996
Suqian,118.2831,33.9331
Guadalajara,-103.3475,20.6767
Fuzhou,119.2917,26.0769
Zhaotong,103.7144,27.3328
Pudong,121.5397,31.2231
Yongzhou,111.5953,26.4515
Belo Horizonte,-43.9478,-19.8917
Zhangzhou,117.6612,24.5093
Bozhou,115.7742,33.8626
Melbourne,144.9631,-37.8136
Nanchang,115.8872,28.6842
Xianyang,108.7167,34.35
Surabaya,112.7378,-7.2458
Abidjan,-4.0267,5.3364
Ji’an,114.9793,27.1172
Mianyang,104.7385,31.4669
Shaoxing,120.5833,30.0
Alexandria,29.9167,31.2
Yuncheng,110.998,35.0304
Pingdingshan,113.2999,33.735
Huai’an,119.1331,33.5
Xinpu,119.1801,34.5906
Guilin,110.2833,25.2667
Huaihua,109.9592,27.5494
Jiujiang,116.0021,29.7048
Anqing,117.0333,30.5
Boston,-71.0846,42.3188
Huanglongsi,114.3403,34.7936
Xiaoganzhan,113.911,30.9273
Changzhou,119.9692,31.8122
Barcelona,2.1769,41.3825
Chenzhou,113.0267,25.7989
Wuxi,120.2833,31.5667
Zibo,118.0497,36.7831
Jiaxing,120.75,30.7522
Dalian,121.61,38.9131
Harbin,126.6333,45.75
Yangzhou,119.4363,32.3912
Yibin,104.64,28.7596
Jiangmen,113.0833,22.5833
Johannesburg,28.0416,-26.2044
Meizhou,116.1191,24.2998
Chifeng,118.9223,42.2663
Casablanca,-7.62,33.5992
Guiyang,106.7078,26.5794
Langfang,116.7006,39.5196
Zhangjiakou,114.8811,40.8108
İzmir,27.1384,38.4127
Linfen,111.5087,36.0812
Wenzhou,120.6561,27.9991
Monterrey,-100.3,25.6667
Luzhou,105.4409,28.8918
Jiangguanchi,113.8201,34.0244
Neijiang,105.0635,29.5872
Phoenix,-112.0891,33.5722
Yanjiang,104.6397,30.1256
Yiyang,112.3333,28.5833
Zhaoqing,112.465,23.047
Hengshui,115.686,37.7348
Guigang,109.6092,23.0961
Xiaoxita,111.2803,30.7083
Xiamen,118.0819,24.4797
Chuzhou,118.3115,32.3062
Amman,35.9333,31.95
Jeddah,39.1728,21.5428
Sialkot City,74.5333,32.5
Huizhou,114.4152,23.1115
Qingyuan,113.0507,23.6842
Zhuzhou,113.1469,27.8407
Wuhu,118.3622,31.334
Hechi,109.6091,23.0965
Seattle,-122.3244,47.6211
Loudi,111.9974,27.7378
Binzhou,118.0125,37.3806
Liuzhou,109.4069,24.3181
Yokohama,139.6333,35.4333
Baojishi,107.1751,34.3609
Guang’an,106.6336,30.4673
Hanzhong,107.026,33.0794
Kabul,69.1658,34.5328
Zaozhuang,117.55,34.8667
Berlin,13.3833,52.5167
Anshan,122.9895,41.1066
Deyang,104.395,31.1289
Lanzhou,103.8318,36.0617
Chengde,117.9322,40.9739
San Francisco,-122.443,37.7562
